"ID del post","ID dell'account","Nome utente dell'account","Nome account",Descrizione,"Durata (s)","Orario di pubblicazione",Permalink,"Tipo di post","Commento sui dati",Data,Visualizzazioni,Copertura,"Mi piace",Condivisioni,"Visite al profilo",Risposte,Navigazione,"Clic sul link",Follower,"Tocchi sugli adesivi"
17868469773265710,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise","* Oggi ci trovate in @fabbricadelvapore.
Non perdetevi l’evento!",5,"04/10/2025 02:04",https://www.instagram.com/stories/jemp_polimi/3607569875709100023,"Storia di Instagram",,Totale,327,305,1,0,4,0,349,,,7
18060940751664878,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise","Siamo in 70 🚀",0,"03/10/2026 02:52",https://www.instagram.com/stories/jemp_polimi/3849669268723598786,"Storia di Instagram",,Totale,640,395,1,0,3,0,579,,,
18101294797914364,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise",,0,"03/10/2026 01:56",https://www.instagram.com/stories/jemp_polimi/3849641137056926042,"Storia di Instagram",,Totale,623,402,3,0,2,1,578,,,
18187734466366687,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise",,0,"03/10/2026 01:34",https://www.instagram.com/stories/jemp_polimi/3849629827418178792,"Storia di Instagram",,Totale,613,431,3,0,5,1,544,,1,
17934488283189605,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise",,0,"03/09/2026 02:41",https://www.instagram.com/stories/jemp_polimi/3848938744942077069,"Storia di Instagram",,Totale,500,354,2,0,5,0,454,,,
17871168564560340,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise",,0,"03/09/2026 02:39",https://www.instagram.com/stories/jemp_polimi/3848937809704540543,"Storia di Instagram",,Totale,797,599,5,1,7,1,479,13,,
17904345279372905,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise",👇👇👇,0,"03/08/2026 00:26",https://www.instagram.com/stories/jemp_polimi/3848176121422164147,"Storia di Instagram",,Totale,494,383,2,0,3,0,439,5,,
17989760939930936,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise",,0,"03/07/2026 04:34",https://www.instagram.com/stories/jemp_polimi/3847576518654073996,"Storia di Instagram",,Totale,491,335,1,0,2,0,415,,,49
17907954882361081,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise",,12,"03/06/2026 20:46",https://www.instagram.com/stories/jemp_polimi/3847340728749580041,"Storia di Instagram",,Totale,505,355,1,0,3,0,407,,,
17882246550374939,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise","JE Europe Winter Conference",3,"03/06/2026 09:50",https://www.instagram.com/stories/jemp_polimi/3847010672374357088,"Storia di Instagram",,Totale,1400,961,2,1,9,0,387,,,
18092477618469917,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise","Clicca per scoprire gli step che seguiamo per  il progetto di un sito web!",60,"03/06/2026 08:16",https://www.instagram.com/stories/jemp_polimi/3846972641881799345,"Storia di Instagram",,Totale,538,367,0,1,8,0,432,,,
17860220289546330,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise","clicca per scoprire le nostre aree!",32,"03/04/2026 05:33",https://www.instagram.com/stories/jemp_polimi/3845443406495128134,"Storia di Instagram",,Totale,464,319,0,0,3,0,395,,,
17911279443341299,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise",,0,"03/04/2026 04:21",https://www.instagram.com/stories/jemp_polimi/3845395499876277820,"Storia di Instagram",,Totale,528,367,2,0,2,0,456,,,21
18017213249652804,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise",,0,"03/04/2026 03:29",https://www.instagram.com/stories/jemp_polimi/3845369581434747989,"Storia di Instagram",,Totale,2884,1820,1,1,59,0,830,,,
18040072880552216,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise",Gg,0,"03/02/2026 23:12",https://www.instagram.com/stories/jemp_polimi/3844515128250883167,"Storia di Instagram",,Totale,610,459,2,0,7,0,559,,,
17864724459598075,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise",,0,"03/02/2026 06:03",https://www.instagram.com/stories/jemp_polimi/3843997423152279844,"Storia di Instagram",,Totale,628,414,3,0,2,0,571,,,
17937766407157242,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise",,0,"03/02/2026 05:40",https://www.instagram.com/stories/jemp_polimi/3843985715415384929,"Storia di Instagram",,Totale,686,469,4,0,11,0,579,,,
17926922460215996,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise",,13,"02/27/2026 00:50",https://www.instagram.com/stories/jemp_polimi/3841665628901613972,"Storia di Instagram",,Totale,743,506,1,0,4,0,492,,,
18097501090757528,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise",,57,"02/26/2026 08:16",https://www.instagram.com/stories/jemp_polimi/3841165246244987030,"Storia di Instagram",,Totale,565,411,6,0,4,0,460,,,
17875632174413489,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise",,50,"02/25/2026 06:03",https://www.instagram.com/stories/jemp_polimi/3840373567137154311,"Storia di Instagram",,Totale,632,431,4,0,11,0,482,,,
